000,000,000,000,000,000,000,004,000,000,000,000,000,000,000,000,1540,000,000,000,000,000,000,000
000,000,000,000,000,000,000,013,006,000,000,000,000,000,000,005,014,000,000,000,000,000,000,000
000,000,000,000,000,000,000,013,014,000,000,000,000,000,000,013,014,000,000,000,000,000,000,000
000,000,000,000,000,000,052,013,014,000,000,000,000,000,000,013,014,000,000,000,000,000,000,000
000,005,007,007,007,007,015,015,015,082,000,000,000,000,000,013,014,000,000,000,000,000,000,000
6657,011,011,011,011,011,015,015,014,000,000,000,000,000,000,013,014,116,000,000,000,000,000,000
000,000,000,000,000,000,009,015,014,000,000,084,084,000,000,013,015,015,007,007,007,007,006,000
000,000,000,000,000,000,000,013,015,003,003,011,011,003,007,015,015,015,015,015,015,015,015,2562
000,000,000,000,000,000,305,015,014,000,000,000,000,000,013,015,011,015,011,011,011,011,010,000
000,000,000,000,000,000,000,013,014,000,000,000,000,000,013,014,000,152,000,000,000,000,000,000
000,000,000,000,000,000,005,015,014,000,000,000,000,000,013,014,000,000,000,000,000,000,000,000
000,005,003,003,003,003,015,015,014,000,000,000,000,000,013,014,000,000,000,000,000,000,000,000
000,280,000,000,000,000,013,015,014,000,000,000,000,000,013,015,146,000,000,000,000,000,000,000
000,000,000,000,000,000,013,015,014,000,000,000,000,000,013,014,000,000,000,000,000,000,000,000
000,000,000,000,000,000,013,015,014,000,000,000,000,000,013,014,000,000,000,000,000,000,000,000
000,000,000,000,000,273,015,015,015,007,007,007,007,007,015,015,007,007,006,000,000,000,000,000
000,000,000,000,000,000,013,015,011,015,011,011,011,011,015,011,015,015,015,007,007,007,006,000
000,005,007,007,007,007,015,014,000,216,000,000,000,000,216,000,013,015,011,015,011,011,011,002
5633,011,011,011,011,015,015,014,000,000,000,000,000,000,000,000,013,014,000,184,000,000,000,000
000,000,000,000,241,011,015,015,210,000,000,000,000,000,000,209,015,014,000,000,000,000,000,000
000,000,000,000,000,000,013,014,000,000,000,000,000,000,000,000,013,014,000,000,000,000,000,000
000,000,000,000,000,000,013,014,000,000,000,000,000,000,000,000,013,014,000,000,000,000,000,000
000,000,000,000,000,000,009,014,000,000,000,000,000,000,000,000,013,010,000,000,000,000,000,000
000,000,000,000,000,000,000,009,003,006,000,000,000,000,005,003,010,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,4616,000,000,000,000,3592,000,000,000,000,000,000,000,000,000
